

SWITCH s1

 cookie=0x0, duration=41.289s, table=0, n_packets=2, n_bytes=84, priority=10,arp,dl_src=00:00:00:00:00:97,dl_dst=00:00:00:00:00:33 actions=output:"s1-eth51"
 cookie=0x0, duration=41.029s, table=0, n_packets=0, n_bytes=0, priority=10,arp,dl_src=00:00:00:00:00:2d,dl_dst=00:00:00:00:00:91 actions=output:"s1-eth101"
 cookie=0x0, duration=40.461s, table=0, n_packets=2, n_bytes=84, priority=10,arp,dl_src=00:00:00:00:00:98,dl_dst=00:00:00:00:00:34 actions=output:"s1-eth52"
 cookie=0x0, duration=40.178s, table=0, n_packets=0, n_bytes=0, priority=10,arp,dl_src=00:00:00:00:00:2e,dl_dst=00:00:00:00:00:92 actions=output:"s1-eth101"
 cookie=0x0, duration=39.636s, table=0, n_packets=2, n_bytes=84, priority=10,arp,dl_src=00:00:00:00:00:99,dl_dst=00:00:00:00:00:35 actions=output:"s1-eth53"
 cookie=0x0, duration=39.537s, table=0, n_packets=0, n_bytes=0, priority=10,arp,dl_src=00:00:00:00:00:2f,dl_dst=00:00:00:00:00:93 actions=output:"s1-eth101"
 cookie=0x0, duration=38.808s, table=0, n_packets=2, n_bytes=84, priority=10,arp,dl_src=00:00:00:00:00:9a,dl_dst=00:00:00:00:00:36 actions=output:"s1-eth54"
 cookie=0x0, duration=38.684s, table=0, n_packets=0, n_bytes=0, priority=10,arp,dl_src=00:00:00:00:00:30,dl_dst=00:00:00:00:00:94 actions=output:"s1-eth101"
 cookie=0x0, duration=37.984s, table=0, n_packets=2, n_bytes=84, priority=10,arp,dl_src=00:00:00:00:00:9b,dl_dst=00:00:00:00:00:37 actions=output:"s1-eth55"
 cookie=0x0, duration=37.830s, table=0, n_packets=0, n_bytes=0, priority=10,arp,dl_src=00:00:00:00:00:31,dl_dst=00:00:00:00:00:95 actions=output:"s1-eth101"
 cookie=0x0, duration=37.154s, table=0, n_packets=2, n_bytes=84, priority=10,arp,dl_src=00:00:00:00:00:9c,dl_dst=00:00:00:00:00:38 actions=output:"s1-eth56"
 cookie=0x0, duration=36.976s, table=0, n_packets=0, n_bytes=0, priority=10,arp,dl_src=00:00:00:00:00:32,dl_dst=00:00:00:00:00:96 actions=output:"s1-eth101"
 cookie=0x0, duration=36.329s, table=0, n_packets=2, n_bytes=84, priority=10,arp,dl_src=00:00:00:00:00:9d,dl_dst=00:00:00:00:00:39 actions=output:"s1-eth57"
 cookie=0x0, duration=36.125s, table=0, n_packets=0, n_bytes=0, priority=10,arp,dl_src=00:00:00:00:00:33,dl_dst=00:00:00:00:00:97 actions=output:"s1-eth101"
 cookie=0x0, duration=35.496s, table=0, n_packets=2, n_bytes=84, priority=10,arp,dl_src=00:00:00:00:00:9e,dl_dst=00:00:00:00:00:3a actions=output:"s1-eth58"
 cookie=0x0, duration=35.271s, table=0, n_packets=0, n_bytes=0, priority=10,arp,dl_src=00:00:00:00:00:34,dl_dst=00:00:00:00:00:98 actions=output:"s1-eth101"
 cookie=0x0, duration=34.675s, table=0, n_packets=2, n_bytes=84, priority=10,arp,dl_src=00:00:00:00:00:9f,dl_dst=00:00:00:00:00:3b actions=output:"s1-eth59"
 cookie=0x0, duration=34.416s, table=0, n_packets=0, n_bytes=0, priority=10,arp,dl_src=00:00:00:00:00:35,dl_dst=00:00:00:00:00:99 actions=output:"s1-eth101"
 cookie=0x0, duration=33.846s, table=0, n_packets=2, n_bytes=84, priority=10,arp,dl_src=00:00:00:00:00:a0,dl_dst=00:00:00:00:00:3c actions=output:"s1-eth60"
 cookie=0x0, duration=33.566s, table=0, n_packets=0, n_bytes=0, priority=10,arp,dl_src=00:00:00:00:00:36,dl_dst=00:00:00:00:00:9a actions=output:"s1-eth101"
 cookie=0x0, duration=32.987s, table=0, n_packets=2, n_bytes=84, priority=10,arp,dl_src=00:00:00:00:00:a1,dl_dst=00:00:00:00:00:3d actions=output:"s1-eth61"
 cookie=0x0, duration=32.925s, table=0, n_packets=0, n_bytes=0, priority=10,arp,dl_src=00:00:00:00:00:37,dl_dst=00:00:00:00:00:9b actions=output:"s1-eth101"
 cookie=0x0, duration=32.192s, table=0, n_packets=2, n_bytes=84, priority=10,arp,dl_src=00:00:00:00:00:a2,dl_dst=00:00:00:00:00:3e actions=output:"s1-eth62"
 cookie=0x0, duration=32.071s, table=0, n_packets=0, n_bytes=0, priority=10,arp,dl_src=00:00:00:00:00:38,dl_dst=00:00:00:00:00:9c actions=output:"s1-eth101"
 cookie=0x0, duration=31.330s, table=0, n_packets=2, n_bytes=84, priority=10,arp,dl_src=00:00:00:00:00:a3,dl_dst=00:00:00:00:00:3f actions=output:"s1-eth63"
 cookie=0x0, duration=31.219s, table=0, n_packets=0, n_bytes=0, priority=10,arp,dl_src=00:00:00:00:00:39,dl_dst=00:00:00:00:00:9d actions=output:"s1-eth101"
 cookie=0x0, duration=30.539s, table=0, n_packets=2, n_bytes=84, priority=10,arp,dl_src=00:00:00:00:00:a4,dl_dst=00:00:00:00:00:40 actions=output:"s1-eth64"
 cookie=0x0, duration=30.364s, table=0, n_packets=0, n_bytes=0, priority=10,arp,dl_src=00:00:00:00:00:3a,dl_dst=00:00:00:00:00:9e actions=output:"s1-eth101"
 cookie=0x0, duration=29.676s, table=0, n_packets=2, n_bytes=84, priority=10,arp,dl_src=00:00:00:00:00:a5,dl_dst=00:00:00:00:00:41 actions=output:"s1-eth65"
 cookie=0x0, duration=29.511s, table=0, n_packets=0, n_bytes=0, priority=10,arp,dl_src=00:00:00:00:00:3b,dl_dst=00:00:00:00:00:9f actions=output:"s1-eth101"
 cookie=0x0, duration=28.893s, table=0, n_packets=2, n_bytes=84, priority=10,arp,dl_src=00:00:00:00:00:a6,dl_dst=00:00:00:00:00:42 actions=output:"s1-eth66"
 cookie=0x0, duration=28.658s, table=0, n_packets=0, n_bytes=0, priority=10,arp,dl_src=00:00:00:00:00:3c,dl_dst=00:00:00:00:00:a0 actions=output:"s1-eth101"
 cookie=0x0, duration=28.062s, table=0, n_packets=2, n_bytes=84, priority=10,arp,dl_src=00:00:00:00:00:a7,dl_dst=00:00:00:00:00:43 actions=output:"s1-eth67"
 cookie=0x0, duration=27.805s, table=0, n_packets=0, n_bytes=0, priority=10,arp,dl_src=00:00:00:00:00:3d,dl_dst=00:00:00:00:00:a1 actions=output:"s1-eth101"
 cookie=0x0, duration=27.235s, table=0, n_packets=2, n_bytes=84, priority=10,arp,dl_src=00:00:00:00:00:a8,dl_dst=00:00:00:00:00:44 actions=output:"s1-eth68"
 cookie=0x0, duration=26.950s, table=0, n_packets=0, n_bytes=0, priority=10,arp,dl_src=00:00:00:00:00:3e,dl_dst=00:00:00:00:00:a2 actions=output:"s1-eth101"
 cookie=0x0, duration=26.406s, table=0, n_packets=2, n_bytes=84, priority=10,arp,dl_src=00:00:00:00:00:a9,dl_dst=00:00:00:00:00:45 actions=output:"s1-eth69"
 cookie=0x0, duration=26.097s, table=0, n_packets=0, n_bytes=0, priority=10,arp,dl_src=00:00:00:00:00:3f,dl_dst=00:00:00:00:00:a3 actions=output:"s1-eth101"
 cookie=0x0, duration=25.587s, table=0, n_packets=2, n_bytes=84, priority=10,arp,dl_src=00:00:00:00:00:aa,dl_dst=00:00:00:00:00:46 actions=output:"s1-eth70"
 cookie=0x0, duration=25.457s, table=0, n_packets=0, n_bytes=0, priority=10,arp,dl_src=00:00:00:00:00:40,dl_dst=00:00:00:00:00:a4 actions=output:"s1-eth101"
 cookie=0x0, duration=24.762s, table=0, n_packets=2, n_bytes=84, priority=10,arp,dl_src=00:00:00:00:00:ab,dl_dst=00:00:00:00:00:47 actions=output:"s1-eth71"
 cookie=0x0, duration=24.584s, table=0, n_packets=0, n_bytes=0, priority=10,arp,dl_src=00:00:00:00:00:41,dl_dst=00:00:00:00:00:a5 actions=output:"s1-eth101"
 cookie=0x0, duration=23.936s, table=0, n_packets=2, n_bytes=84, priority=10,arp,dl_src=00:00:00:00:00:ac,dl_dst=00:00:00:00:00:48 actions=output:"s1-eth72"
 cookie=0x0, duration=23.750s, table=0, n_packets=0, n_bytes=0, priority=10,arp,dl_src=00:00:00:00:00:42,dl_dst=00:00:00:00:00:a6 actions=output:"s1-eth101"
 cookie=0x0, duration=23.104s, table=0, n_packets=2, n_bytes=84, priority=10,arp,dl_src=00:00:00:00:00:ad,dl_dst=00:00:00:00:00:49 actions=output:"s1-eth73"
 cookie=0x0, duration=22.896s, table=0, n_packets=0, n_bytes=0, priority=10,arp,dl_src=00:00:00:00:00:43,dl_dst=00:00:00:00:00:a7 actions=output:"s1-eth101"
 cookie=0x0, duration=22.279s, table=0, n_packets=2, n_bytes=84, priority=10,arp,dl_src=00:00:00:00:00:ae,dl_dst=00:00:00:00:00:4a actions=output:"s1-eth74"
 cookie=0x0, duration=22.044s, table=0, n_packets=0, n_bytes=0, priority=10,arp,dl_src=00:00:00:00:00:44,dl_dst=00:00:00:00:00:a8 actions=output:"s1-eth101"
 cookie=0x0, duration=21.455s, table=0, n_packets=2, n_bytes=84, priority=10,arp,dl_src=00:00:00:00:00:af,dl_dst=00:00:00:00:00:4b actions=output:"s1-eth75"
 cookie=0x0, duration=21.191s, table=0, n_packets=0, n_bytes=0, priority=10,arp,dl_src=00:00:00:00:00:45,dl_dst=00:00:00:00:00:a9 actions=output:"s1-eth101"
 cookie=0x0, duration=20.629s, table=0, n_packets=2, n_bytes=84, priority=10,arp,dl_src=00:00:00:00:00:b0,dl_dst=00:00:00:00:00:4c actions=output:"s1-eth76"
 cookie=0x0, duration=20.338s, table=0, n_packets=0, n_bytes=0, priority=10,arp,dl_src=00:00:00:00:00:46,dl_dst=00:00:00:00:00:aa actions=output:"s1-eth101"
 cookie=0x0, duration=19.794s, table=0, n_packets=2, n_bytes=84, priority=10,arp,dl_src=00:00:00:00:00:b1,dl_dst=00:00:00:00:00:4d actions=output:"s1-eth77"
 cookie=0x0, duration=19.694s, table=0, n_packets=0, n_bytes=0, priority=10,arp,dl_src=00:00:00:00:00:47,dl_dst=00:00:00:00:00:ab actions=output:"s1-eth101"
